id;name;pronouns;area;area Label;power Level;color 1;color 2;color Animated?;signup Date;has donated;donated;coin;supporter End Date;boost End Date;is a Game Moderator;is Translator;is Supporter;is Boosted;runs ILs;runs FGs;runs;categories ILs;categories FGs;categories;games ILs;games FGs;games;platforms ILs;platforms FGs;platforms;wrs ILs;wrs FGs;wrs;podiums ILs;podiums FGs;podiums;obsoletes ILs;obsoletes FGs;obsoletes;Games with at least 1 wrs;categoriesMisc;levels
8dw6p2lj;BuggsRightyear;;None;None;1;white;red;0;1605869573;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18vz40ej;wallternoe;;None;None;1;green;green;0;1536444375;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xz7mvm0j;the_ultimate_noodle;;None;None;1;yellow;green;0;1607535045;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j92w5rr8;BlankSphere;;None;None;1;white;silver;0;1606421152;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98rwvdwx;YaBoi69;;None;None;1;lavender;lavender;0;1561553094;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
863wvq58;TheUndrtakr;He/Him;None;None;1;green;mint;0;1633100855;False;0;0;0;0;False;False;False;False;0;1;1;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
8v5vydej;pigyrus;;None;None;1;pink;pink;0;1605285840;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98r76d6j;Galactico;He/Him;None;None;1;green;white;0;1462660233;True;5;2;0;0;True;False;False;False;61;2;63;4;1;5;4;1;5;4;1;5;10;0;10;41;1;42;1;1;2;2;0;60
8d45d6g8;hollowary;She/Her;None;None;1;azure;azure;0;1635257625;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jn9v59qx;Jeb_Kerm;;None;None;1;green;azure;0;1636929981;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5vn7nw8;MrMFB;He/Him;None;None;1;red;red;0;1635385133;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
xkozp168;BedofRazors;;None;None;1;mint;mint;0;1590715687;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x3q94y2j;porcupine_exp;He/Him;None;None;1;coral;red;0;1616419984;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
qjnmroq8;MapRosTer;;None;None;1;green;green;0;1565112001;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
j5vdevq8;peropone;He/Him;None;None;1;orange;orange;0;1634657371;False;0;0;0;0;False;False;False;False;0;2;2;0;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0
68w0274j;Koro;He/Him, They/Them;None;None;1;red;red;0;1489530596;False;0;0;0;0;True;False;False;False;0;20;20;0;7;7;0;5;5;0;1;1;0;0;0;0;2;2;0;13;13;0;0;0
8en9p078;Rehananees;;None;None;1;silver;silver;0;1608635885;False;0;0;0;0;False;False;False;False;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
