name;Platforms;URL;Categories
B.ARK;"PlayStation 4; Xbox One; PC; Switch; Xbox One X; PlayStation 4 Pro; Xbox One S; Xbox Series X; Xbox Series S";https://www.speedrun.com/bark;"Co-op Normal; Co-op; Co-op Hard; Co-op Insane"
Back 4 Blood;"PlayStation 4; Xbox One; PC; PlayStation 5; Xbox Series X; Xbox Series S";https://www.speedrun.com/b4b;"PC; Console; Co-op [PC]; Co-op [Console]"
Bad Dudes (Arcade);Arcade;https://www.speedrun.com/bad_dudes_arcade;Any% coop
Bad Ice Cream;"PC; Web";https://www.speedrun.com/bic;"Co-op Any%; Co-op Any%"
Bad Ice Cream 2;Web;https://www.speedrun.com/bic2;"Co-op; Co-op Any%"
Balloon Fight (NES);"Nintendo Entertainment System; Wii U Virtual Console; NES Classic Mini; Switch";https://www.speedrun.com/balloonfight;Beat phase 12 (2 player)
Bare Knuckle III;"Sega Genesis; Xbox 360; PlayStation 4; Xbox One; Switch";https://www.speedrun.com/bk_3;2 Players
Barney's Hide & Seek Game;Sega Genesis;https://www.speedrun.com/barneys_hide_and_seek_game;Co-op Any% No Controller
Barony;PC;https://www.speedrun.com/barony;"Classic; Full Game; Hell Route; Hardcore Classic; Hardcore Full Game; Hardcore Hell Route; Mines%"
Barro Racing;PC;https://www.speedrun.com/barro_racing;All Tracks (2P)
Batman: Rise of Sin Tzu;"GameCube; Game Boy Advance; PlayStation 2; Xbox";https://www.speedrun.com/batman_rost;"""Any%,  Co-op"""
Batman: The Brave and the Bold – The Videogame;Wii;https://www.speedrun.com/batb;Co-op Any% Wii
Battle Circuit;"Arcade; Xbox; PlayStation 4; Xbox One; PC; Switch; MiSTer";https://www.speedrun.com/battle_circuit;"2P; 3P; 4P"
Battle City;"Nintendo Entertainment System; Wii U; Wii; Wii U Virtual Console; Switch";https://www.speedrun.com/battle_city;Any% (2 Players)
BattleBlock Theater;"Xbox 360; Xbox One; PC";https://www.speedrun.com/battleblock_theater;"Any% No Level Skips Co-Op; Any% Co-Op; All Levels Co-Op; 100% Co-Op; Challenge Co-Op; Any% No Level Skips Co-Op; Any% Co-Op; Challenge Co-Op Individual Levels; All Levels Co-Op; 100% Co-Op"
Battleborn;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/battleborn;"Co-Op; Main Story Gearless (Co-op)"
Battlefield 3;"PlayStation 3; Xbox 360; Xbox One; PC";https://www.speedrun.com/bf3;Co-Op
Battlerite;PC;https://www.speedrun.com/battlerite;VS AI (custom lobby)
BattleTanx: Global Assault (N64);Nintendo 64;https://www.speedrun.com/bga;"Co-Op; Co-Op (Any%); Co-Op (No Point Glitch)"
Battletanx: Global Assault (PS1);PlayStation;https://www.speedrun.com/bga_ps1;Co-Op
Battletoads;"Xbox One; PC; Xbox Series X; Xbox Series S";https://www.speedrun.com/battletoads_;"Any% 2 Players; Any% 3 Players; 100% 2 Players; 100% 3 Players; Any% 2 Players; 100% 2 Players; Any% 3 Players; 100% 3 Players; S-plendidly S-pecific (2 players); S-plendidly S-pecific (3 players)"
Battletoads & Double Dragon;Nintendo Entertainment System;https://www.speedrun.com/btdd;"Co-op Any%; Co-op Turbo"
Battletoads & Double Dragon (Genesis);Sega Genesis;https://www.speedrun.com/battletoads_and_double_dragon_genesis;Any% Co-op
Battletoads & Double Dragon (SNES);Super Nintendo;https://www.speedrun.com/battletoads_and_double_dragon_snes;Coop Any%
Battletoads & Double Dragon x3;Nintendo Entertainment System;https://www.speedrun.com/btdd_x3;"2 players; 3 players"
Battletoads (Genesis/MegaDrive);Sega Genesis;https://www.speedrun.com/battletoads_genesis;"Any% Co-op; Warpless Co-op"
Battletoads (NES);Nintendo Entertainment System;https://www.speedrun.com/battletoads_nes;"Any% Coop; Warpless Coop; 100% Coop"
Battletoads in Battlemaniacs;Super Nintendo;https://www.speedrun.com/battletoads_in_battlemaniacs;"Co-op A; Co-op B"
Ben 10: Alien Force;"Wii U; PlayStation 2; PlayStation 3; PlayStation Portable; PlayStation Vita; Wii; Playstation TV";https://www.speedrun.com/b10af;"Any%; 100%; Any% NG+; Cheat%"
Ben 10: Power Trip;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/b10pt;"Any%; 100%"
Ben 10: Protector of Earth;"Wii U; PlayStation 2; PlayStation 3; PlayStation Portable; PlayStation Vita; Wii; Playstation TV";https://www.speedrun.com/ben10poe;"Any%; NG+ Any%; 100%; Glitchless; Cheat%; Southwest; NG+; Northwest; Midwest; Southeast; Eastcoast; Grand Canyon Any%"
Big Fight: Big Trouble in the Atlantic Ocean;Arcade;https://www.speedrun.com/big_fight_big_trouble_in_the_atlantic_ocean;"Any%; Default"
BIGFOOT;PC;https://www.speedrun.com/finding_bigfoot;"Any%; 100%; Any%; 100%; All clues only; All clues only"
Bio-Hazard Battle;"Wii Virtual Console; Sega Genesis; PC";https://www.speedrun.com/bio-hazard_battle;2 Players
Biped;PC;https://www.speedrun.com/biped;"Coop Any%; Coop Any%; Coop Any% All Stars"
Birthday Party Bash;"Wii U; Wii";https://www.speedrun.com/birthday_party_bash;Multiple Players
Bishoujo Senshi Sailor Moon (SNES);Super Nintendo;https://www.speedrun.com/sailor_moon;2 players
Bishoujo Senshi Sailor Moon R;Super Nintendo;https://www.speedrun.com/bssmr;Any% Co-Op
Black and White;"PC; Web";https://www.speedrun.com/black_and_white;Any% (2P)
Black Desert Online;"PlayStation 4; Xbox One; PC";https://www.speedrun.com/black_desert_online;"Level 1 - 10; Level 1 - 50; Level 1 - 56"
Blade Master;Arcade;https://www.speedrun.com/blade_master;Co-op Any%
Blades of Vengeance;Sega Genesis;https://www.speedrun.com/blades_of_vengeance;"Any%; Warpless"
Blaster Master Zero;"Nintendo 3DS; PlayStation 4; PC; Switch";https://www.speedrun.com/blaster_master_zero;"Co-Op; Boss Blaster Mode"
Blazing Beaks;"PC; Switch";https://www.speedrun.com/bbeaks;"Any% Co-op (Random Seed); Any% Co-op (Set Seed); Set Seed (Co-op)"
Blazing Chrome;"PlayStation 4; Xbox One; PC; Switch";https://www.speedrun.com/blazing_chrome;"Arcade Mode (Easy); Arcade Mode (Normal); Arcade Mode (Hardcore); Mirror Mode (Easy); Mirror Mode (Normal); Mirror Mode (Hardcore); Boss Rush"
Blazing Star;;https://www.speedrun.com/blazing_star;ALL LEVELS - COOP
Bleep Bloop;"PlayStation 4; PC; Switch";https://www.speedrun.com/bleepbloop;"Beat The Game; Worlds%; Beat The Level; Score%"
Blind Trust;PC;https://www.speedrun.com/blind_trust;Full Game
