name;platforms;url;categories FG;levels;categories IL;total
20.000 Leghe sotto i mari;PC;https://www.speedrun.com/20000;1;6;6; 
200% Mixed Juice!;PC;https://www.speedrun.com/200mj;2;0;0; 
2000:1: A Space Felony;PC;https://www.speedrun.com/2000-1-asf;1;0;0; 
2003 Gu Huo Lang II / 2003 Crash II Advance;Game Boy Color, Game Boy Advance, Game Boy Player;https://www.speedrun.com/crashiiadv;1;0;0; 
2009s Classic Longest Obby!;PC, Android, iOS, Macintosh;https://www.speedrun.com/2009s_classic_longest_obby;2;0;0; 
200m Peanut Dash;Web;https://www.speedrun.com/200m_peanut_dash;4;0;0; 
2010: The Graphic Adventure Game;ColecoVision;https://www.speedrun.com/2010_the_graphic_adventure_game;4;0;0; 
2013:Infected Wars;PlayStation Vita, iOS;https://www.speedrun.com/2013infected_wars;1;0;0; 
2014 Fifa World Cup Brazil;PlayStation 3, Xbox 360;https://www.speedrun.com/2014_fifa_world_cup_brazil;2;0;0; 
2020 Game;Web;https://www.speedrun.com/2020_game;6;0;0; 
2020 Spring Collab;PC, Macintosh, Linux;https://www.speedrun.com/sc2020;5;93;93; 
2048;PC, Android, iOS, Windows Phone, Web;https://www.speedrun.com/2048;15;0;0; 
2064: Read Only Memories;PlayStation 4, PC;https://www.speedrun.com/2064_read_only_memories;18;0;0; 
20XX;PC;https://www.speedrun.com/20xx;14;0;0; 
222 Hearts;PC;https://www.speedrun.com/222hearts;7;0;0; 
2310 seconds in hell;PC;https://www.speedrun.com/2310_seconds_in_hell;1;0;0; 
234PlayerGames;Android, iOS;https://www.speedrun.com/234pg;116;0;0; 
24 Hour Hack;Nintendo 64;https://www.speedrun.com/24_hour_hack;4;6;29; 
24 HOURS;PC;https://www.speedrun.com/24_hours;7;0;0; 
24: The Game;PlayStation 2;https://www.speedrun.com/24_the_game;1;0;0; 
25 To Life;PlayStation 2, Xbox, PC;https://www.speedrun.com/25_to_life;3;0;0; 
25BIT;Android, iOS;https://www.speedrun.com/25bit;7;125;125; 
2D Platformer;PC, Web, Macintosh, Linux;https://www.speedrun.com/2d_platformer;4;16;48; 
2D Zelda Games;;https://www.speedrun.com/2dzelda;8;0;0; 
2D-RUSH;Xbox One, PC, Xbox Series X;https://www.speedrun.com/2drush;1;18;36; 
2Dark;PC;https://www.speedrun.com/2dark;1;0;0; 
2DOOM;Web;https://www.speedrun.com/2doom;2;0;0; 
2weistein;PC, Macintosh;https://www.speedrun.com/2weistein;1;18;0; 
3 Foot Ninja;PC;https://www.speedrun.com/3_foot_ninja;4;0;0; 
3 in 1 Supergun;Nintendo Entertainment System;https://www.speedrun.com/3_in_1_supergun;4;0;0; 
3 Islands of Shells;Super Nintendo;https://www.speedrun.com/3_islands_of_shells;4;0;0; 
3 Ninjas Kick Back;Super Nintendo, Sega Genesis, Sega CD;https://www.speedrun.com/3_ninjas_kick_back;6;0;0; 
3 on 3 NHL Arcade;PlayStation 3, Xbox 360;https://www.speedrun.com/3_on_3_nhl_arcade;2;0;0; 
3 Pandas;PC, Web;https://www.speedrun.com/3pandas;1;0;0; 
3 Pandas 2. Night;PC, Web;https://www.speedrun.com/3pandasnight;1;0;0; 
3 Pandas in Brazil;PC, Web;https://www.speedrun.com/3pandasbrazil;1;0;0; 
3 Second Maze;Web;https://www.speedrun.com/3sm;2;3;3; 
3-2-1, Rattle Battle!;Wii;https://www.speedrun.com/3-2-1_rattle_battle;2;0;0; 
3-D Dinosaur Adventure;PC;https://www.speedrun.com/3-d_dinosaur_adventure;5;0;0; 
3-D Ultra Radio Control Racers;PC;https://www.speedrun.com/3_d_ultra_radio_control_racers;48;0;0; 
3-D WorldRunner;Nintendo Entertainment System, Famicom Disk System;https://www.speedrun.com/3-d_worldrunner;1;0;0; 
300: March to Glory ;PlayStation Portable;https://www.speedrun.com/300;2;0;0; 
30th Anniversary of PAC-MAN;PC, Android, Web, Macintosh;https://www.speedrun.com/googlepacman;12;0;0; 
35MM;;https://www.speedrun.com/35mm;2;0;0; 
36 Fragments of Midnight;Nintendo 3DS, PlayStation Vita, PlayStation 4, PC, Switch;https://www.speedrun.com/36_fragments_of_midnight;5;0;0; 
39 Days to Mars;;https://www.speedrun.com/39_days_to_mars;6;0;0; 
3AM At The Krusty Krab;PC, Macintosh;https://www.speedrun.com/3am_at_the_krusty_krab;3;5;10; 
3D Body Adventure;MS-DOS;https://www.speedrun.com/3dbody;1;0;0; 
3D Classics: Excitebike;Nintendo 3DS;https://www.speedrun.com/arikaeb;2;5;10; 
3D Dot Game Heroes;PlayStation 3;https://www.speedrun.com/3d_dot_game_heroes;2;0;0; 
